Unnamed: 0,statename,month,year,routed,answered_in_state,abandoned_in_state,asa_in_state,in_state_answer_rate,month_year,AvgTalkTime,suicide_deaths
984,IN,6,2023,3603,3308,241,20S,0.92,Jun-23,17.41666667,5491
985,KS,6,2023,1863,1723,125,21S,0.92,Jun-23,12.81666667,2238
986,KY,6,2023,2272,1850,275,27S,0.81,Jun-23,15.31666667,4131
987,LA,6,2023,2548,2155,353,33S,0.85,Jun-23,15.25,3844
988,MA,6,2023,5112,4584,491,29S,0.9,Jun-23,9.883333333,4731
989,MD,6,2023,4477,4023,422,27S,0.9,Jun-23,13.05,4054
990,ME,6,2023,739,615,81,29S,0.83,Jun-23,10.35,1285
991,MI,6,2023,6862,6118,546,25S,0.89,Jun-23,11.8,7965
992,MN,6,2023,3853,3268,401,30S,0.85,Jun-23,12.5,3838
993,MO,6,2023,4459,4189,237,15S,0.94,Jun-23,12.93333333,5281
994,MS,6,2023,1082,1071,7,2S,0.99,Jun-23,8.116666667,2766
995,MT,6,2023,694,666,28,9S,0.96,Jun-23,11.8,862
996,NC,6,2023,5278,4539,502,18S,0.86,Jun-23,11.81666667,8466
997,ND,6,2023,637,577,17,9S,0.91,Jun-23,9.566666667,527
998,NE,6,2023,1587,1451,82,20S,0.91,Jun-23,16.08333333,1389
999,NH,6,2023,943,843,93,27S,0.89,Jun-23,12.96666667,1069
1000,NJ,6,2023,4571,3783,529,29S,0.83,Jun-23,13.25,5838
1001,NM,6,2023,2000,1741,162,15S,0.87,Jun-23,17.15,1751
1002,NV,6,2023,2957,1990,409,24S,0.67,Jun-23,13.95,2215
1003,NY,6,2023,16280,13919,1500,30S,0.85,Jun-23,14.56666667,12345
1004,OH,6,2023,6801,6056,705,28S,0.89,Jun-23,13.7,9982
1005,OK,6,2023,3470,3202,234,18S,0.92,Jun-23,11.36666667,3465
1006,OR,6,2023,4175,3709,323,26S,0.89,Jun-23,16.25,3361
1007,PA,6,2023,7353,5669,1181,38S,0.77,Jun-23,11.88333333,10743
1008,RI,6,2023,688,674,5,2S,0.98,Jun-23,13.18333333,814
1009,SC,6,2023,3294,2491,383,27S,0.76,Jun-23,15.15,4624
1010,SD,6,2023,730,639,41,13S,0.88,Jun-23,17.35,644
1011,TN,6,2023,3401,3001,393,30S,0.88,Jun-23,11.56666667,6219
1012,TX,6,2023,14264,11398,1412,25S,0.8,Jun-23,13.9,18316
1013,UT,6,2023,2593,2348,152,14S,0.91,Jun-23,15.1,1667
1014,VA,6,2023,5679,5223,436,22S,0.92,Jun-23,12.43333333,6037
1015,VT,6,2023,651,520,39,14S,0.8,Jun-23,18.66666667,501
1016,WA,6,2023,6807,5884,538,24S,0.86,Jun-23,11.31666667,5110
1017,WI,6,2023,6268,4560,705,28S,0.73,Jun-23,14.06666667,4464
1018,WV,6,2023,1260,1134,82,16S,0.9,Jun-23,19.2,1834
1019,WY,6,2023,435,389,17,8S,0.89,Jun-23,14.26666667,431
1020,AK,3,2022,630,349,177,35S,0.55,Mar-22,15.28333333,473
1021,AL,3,2022,2438,1543,695,51S,0.63,Mar-22,12.35,5121
1022,AR,3,2022,1087,952,112,22S,0.88,Mar-22,12.4,3195
1023,AZ,3,2022,3163,2902,199,16S,0.92,Mar-22,9.566666667,6172
1024,CA,3,2022,23527,20117,3303,40S,0.86,Mar-22,12.63333333,25364
1025,CO,3,2022,4180,1592,1379,40S,0.38,Mar-22,13.06666667,3851
1026,CT,3,2022,1906,1483,302,57S,0.78,Mar-22,10.15,2748
1027,DC,3,2022,614,557,44,17S,0.91,Mar-22,7.466666667,456
1028,DE,3,2022,348,255,62,23S,0.73,Mar-22,9.633333333,918
1029,FL,3,2022,8595,5322,2027,36S,0.62,Mar-22,11.93333333,19782
1030,GA,3,2022,5032,3400,1294,26S,0.68,Mar-22,13.35,8286
1031,HI,3,2022,934,596,191,29S,0.64,Mar-22,8.883333333,1023
