Unnamed: 0,statename,month,year,routed,answered_in_state,abandoned_in_state,asa_in_state,in_state_answer_rate,month_year,AvgTalkTime,suicide_deaths
1192,MA,5,2022,4556,2981,1344,59S,0.65,May-22,8.966666667,5173
1193,MD,5,2022,3393,2766,625,39S,0.82,May-22,13.61666667,4375
1194,ME,5,2022,470,319,151,44S,0.68,May-22,11.1,1386
1195,MI,5,2022,5990,3962,1418,55S,0.66,May-22,13.08333333,8918
1196,MN,5,2022,3028,2498,487,52S,0.82,May-22,13.48333333,4024
1197,MO,5,2022,3059,2549,470,36S,0.83,May-22,14.51666667,5590
1198,MS,5,2022,1100,974,114,22S,0.89,May-22,7.716666667,2852
1199,MT,5,2022,613,587,25,12S,0.96,May-22,11.38333333,961
1200,NC,5,2022,5229,5133,93,7S,0.98,May-22,6.9,8629
1201,ND,5,2022,387,350,29,16S,0.9,May-22,11.21666667,577
1202,NE,5,2022,1070,886,155,32S,0.83,May-22,12.46666667,1431
1203,NH,5,2022,697,536,79,16S,0.77,May-22,10.11666667,1142
1204,NJ,5,2022,4429,3328,812,40S,0.75,May-22,13.8,6464
1205,NM,5,2022,1861,1485,334,56S,0.8,May-22,13.86666667,1908
1206,NV,5,2022,1856,1211,469,46S,0.65,May-22,15.41666667,2386
1207,NY,5,2022,13440,9508,2253,33S,0.71,May-22,15.8,13815
1208,OH,5,2022,6285,4309,839,20S,0.69,May-22,11.11666667,10425
1209,OK,5,2022,1975,1201,495,42S,0.61,May-22,15.13333333,3579
1210,OR,5,2022,3775,2863,638,36S,0.76,May-22,18.21666667,3583
1211,PA,5,2022,5380,4461,793,36S,0.83,May-22,12.31666667,11383
1212,RI,5,2022,349,345,4,7S,0.99,May-22,10.25,863
1213,SC,5,2022,2980,2221,598,28S,0.75,May-22,14.68333333,4635
1214,SD,5,2022,310,254,51,25S,0.82,May-22,19.16666667,685
1215,TN,5,2022,3374,2767,578,29S,0.82,May-22,10.05,6416
1216,TX,5,2022,14005,6802,2810,26S,0.49,May-22,13.61666667,18082
1217,UT,5,2022,2383,1983,246,22S,0.83,May-22,14.93333333,1711
1218,VA,5,2022,4671,3951,708,47S,0.85,May-22,11.73333333,6430
1219,VT,5,2022,421,339,46,20S,0.81,May-22,17.26666667,579
1220,WA,5,2022,4801,3019,1226,33S,0.63,May-22,11.83333333,5501
1221,WI,5,2022,4786,3868,753,26S,0.81,May-22,16.93333333,4765
1222,WV,5,2022,959,860,96,23S,0.9,May-22,16.43333333,2079
1223,WY,5,2022,293,196,46,13S,0.67,May-22,15,466
1224,AK,5,2023,1208,824,166,19S,0.68,May-23,14.7,432
1225,AL,5,2023,2407,1361,440,19S,0.57,May-23,12.3,5004
1226,AR,5,2023,1592,1071,230,27S,0.67,May-23,10.88333333,2905
1227,AZ,5,2023,5792,5180,488,18S,0.89,May-23,11.71666667,5687
1228,CA,5,2023,30498,27649,2782,30S,0.91,May-23,11.96666667,23763
1229,CO,5,2023,5997,4741,546,18S,0.79,May-23,14.71666667,3683
1230,CT,5,2023,3794,3535,203,15S,0.93,May-23,9.25,2617
1231,DC,5,2023,828,547,137,44S,0.66,May-23,10.98333333,422
1232,DE,5,2023,435,321,45,20S,0.74,May-23,8.533333333,827
1233,FL,5,2023,11497,8525,1977,37S,0.74,May-23,14.13333333,18711
1234,GA,5,2023,6078,5322,583,21S,0.88,May-23,11.71666667,7911
1235,HI,5,2023,1436,1350,50,9S,0.94,May-23,8.466666667,1023
1236,IA,5,2023,1860,1638,206,33S,0.88,May-23,12.8,2680
1237,ID,5,2023,1178,999,112,23S,0.85,May-23,13.61666667,1388
1238,IL,5,2023,11901,10157,1039,30S,0.85,May-23,19.93333333,9429
1239,IN,5,2023,3805,3629,171,13S,0.95,May-23,13.63333333,5752
1240,KS,5,2023,2087,1917,148,20S,0.92,May-23,13.75,2359
1241,KY,5,2023,2355,1814,323,25S,0.77,May-23,14.91666667,4281
1242,LA,5,2023,2710,2340,323,30S,0.86,May-23,14.91666667,4055
1243,MA,5,2023,5069,4560,477,31S,0.9,May-23,10.1,4888
1244,MD,5,2023,4481,4001,460,27S,0.89,May-23,13.73333333,4285
1245,ME,5,2023,628,523,71,25S,0.83,May-23,10.75,1365
1246,MI,5,2023,7182,6436,580,25S,0.9,May-23,11.7,8669
1247,MN,5,2023,4353,3743,420,34S,0.86,May-23,12.53333333,3925
1248,MO,5,2023,4959,4637,282,16S,0.94,May-23,12.75,5456
1249,MS,5,2023,1065,1046,17,2S,0.98,May-23,8.3,2904
1250,MT,5,2023,740,710,29,10S,0.96,May-23,13.66666667,903
1251,NC,5,2023,5288,4583,484,19S,0.87,May-23,10.51666667,8687
1252,ND,5,2023,525,481,22,8S,0.92,May-23,9.6,582
1253,NE,5,2023,1674,1507,108,20S,0.9,May-23,15.05,1456
1254,NH,5,2023,1019,917,94,29S,0.9,May-23,12.96666667,1138
1255,NJ,5,2023,4566,3865,506,26S,0.85,May-23,13.53333333,6137
1256,NM,5,2023,2116,1736,156,17S,0.82,May-23,17.71666667,1798
1257,NV,5,2023,3210,2267,422,25S,0.71,May-23,14.78333333,2369
1258,NY,5,2023,16323,14059,1463,27S,0.86,May-23,14.93333333,13305
1259,OH,5,2023,7561,6667,869,27S,0.88,May-23,13.13333333,10519
1260,OK,5,2023,3402,3116,242,18S,0.92,May-23,11.21666667,3602
1261,OR,5,2023,4506,3948,339,26S,0.88,May-23,16.23333333,3281
1262,PA,5,2023,7631,6021,1147,40S,0.79,May-23,11.81666667,11350
1263,RI,5,2023,644,619,11,2S,0.96,May-23,14.53333333,824
1264,SC,5,2023,3407,2296,362,20S,0.67,May-23,15.03333333,4635
1265,SD,5,2023,797,705,55,14S,0.88,May-23,15.53333333,712
1266,TN,5,2023,3640,3203,423,30S,0.88,May-23,11.41666667,6477
1267,TX,5,2023,15042,11502,1665,24S,0.76,May-23,14.48333333,18699
1268,UT,5,2023,2765,2512,164,14S,0.91,May-23,14.96666667,1671
1269,VA,5,2023,6017,5553,451,20S,0.92,May-23,12.55,6371
1270,VT,5,2023,825,638,48,14S,0.77,May-23,15.6,538
1271,WA,5,2023,6866,6042,468,23S,0.88,May-23,11.61666667,5327
1272,WI,5,2023,6897,5270,764,28S,0.76,May-23,13.11666667,4876
1273,WV,5,2023,1268,1143,81,16S,0.9,May-23,18,2031
1274,WY,5,2023,433,379,41,10S,0.88,May-23,14.28333333,458
1275,AK,5,2024,1513,992,292,33S,0.66,May-24,16.28333333,
1276,AL,5,2024,3120,2340,491,32S,0.75,May-24,9.2,
1277,AR,5,2024,2459,1779,230,27S,0.72,May-24,12.66666667,
1278,AZ,5,2024,7661,6919,541,19S,0.9,May-24,13.15,
1279,CA,5,2024,37867,31663,4678,33S,0.84,May-24,12.3,
1280,CO,5,2024,10305,7535,952,26S,0.73,May-24,14.55,
1281,CT,5,2024,4961,4507,266,15S,0.91,May-24,11.35,
1282,DC,5,2024,1149,980,103,21S,0.85,May-24,8.9,
1283,DE,5,2024,528,452,43,19S,0.86,May-24,8.966666667,
1284,FL,5,2024,15706,12316,2144,32S,0.78,May-24,14.55,
1285,GA,5,2024,9088,7666,1015,23S,0.84,May-24,11.68333333,
1286,HI,5,2024,2277,1778,315,26S,0.78,May-24,9.433333333,
1287,IA,5,2024,2319,2026,260,32S,0.87,May-24,11.1,
1288,ID,5,2024,1416,1273,89,19S,0.9,May-24,19.78333333,
1289,IL,5,2024,15475,10219,1984,33S,0.66,May-24,17.78333333,
1290,IN,5,2024,7443,6965,437,17S,0.94,May-24,17.85,
1291,KS,5,2024,2816,2384,303,23S,0.85,May-24,14.55,
1292,KY,5,2024,3298,2781,379,23S,0.84,May-24,13.3,
1293,LA,5,2024,3604,3220,324,20S,0.89,May-24,12.75,
1294,MA,5,2024,6857,5896,760,30S,0.86,May-24,9.116666667,
1295,MD,5,2024,7425,6683,676,23S,0.9,May-24,13.36666667,
1296,ME,5,2024,1219,1088,90,16S,0.89,May-24,10.11666667,
1297,MI,5,2024,9793,8831,800,17S,0.9,May-24,10.7,
1298,MN,5,2024,5539,4694,338,18S,0.85,May-24,13.2,
1299,MO,5,2024,7226,6772,401,14S,0.94,May-24,12.83333333,
1300,MS,5,2024,1540,1497,23,1S,0.97,May-24,6.7,
1301,MT,5,2024,1041,1007,28,7S,0.97,May-24,12.48333333,
1302,NC,5,2024,8103,6596,977,22S,0.81,May-24,11.35,
1303,ND,5,2024,746,678,30,10S,0.91,May-24,11.55,
1304,NE,5,2024,2300,1997,167,21S,0.87,May-24,16.2,
1305,NH,5,2024,1249,1017,160,30S,0.81,May-24,14.88333333,
1306,NJ,5,2024,8385,6141,919,25S,0.73,May-24,12.98333333,
1307,NM,5,2024,3223,2860,257,18S,0.89,May-24,13.98333333,
1308,NV,5,2024,4346,2800,610,22S,0.64,May-24,14.73333333,
1309,NY,5,2024,33855,29121,3918,48S,0.86,May-24,14.5,
1310,OH,5,2024,10484,9413,972,24S,0.9,May-24,13.73333333,
1311,OK,5,2024,5625,5014,457,22S,0.89,May-24,11.33333333,
1312,OR,5,2024,5449,4279,593,26S,0.79,May-24,16.1,
1313,PA,5,2024,9904,8883,799,22S,0.9,May-24,11.76666667,
1314,RI,5,2024,895,869,15,1S,0.97,May-24,16.43333333,
1315,SC,5,2024,4164,3226,527,33S,0.77,May-24,14.08333333,
1316,SD,5,2024,840,702,59,12S,0.84,May-24,13.76666667,
1317,TN,5,2024,4644,4047,566,27S,0.87,May-24,11.96666667,
1318,TX,5,2024,18763,15842,2537,34S,0.84,May-24,14.7,
1319,UT,5,2024,3422,3182,168,13S,0.93,May-24,15.5,
1320,VA,5,2024,12014,9999,1436,40S,0.83,May-24,13.73333333,
1321,VT,5,2024,1003,858,51,14S,0.86,May-24,14.46666667,
1322,WA,5,2024,9065,8208,618,20S,0.91,May-24,13.11666667,
1323,WI,5,2024,7063,5261,604,22S,0.74,May-24,14.2,
1324,WV,5,2024,1520,1363,82,15S,0.9,May-24,17.11666667,
1325,WY,5,2024,539,479,42,15S,0.89,May-24,13.93333333,
1326,AK,11,2021,593,328,204,37S,0.55,Nov-21,12.96666667,608
1327,AL,11,2021,2139,1411,587,52S,0.66,Nov-21,12.43333333,5135
1328,AR,11,2021,1148,856,236,29S,0.75,Nov-21,11.41666667,3169
1329,AZ,11,2021,2967,2718,175,16S,0.92,Nov-21,10.15,7325
1330,CA,11,2021,23354,19992,3280,44S,0.86,Nov-21,12.26666667,25694
1331,CO,11,2021,4569,2755,1070,43S,0.6,Nov-21,15.26666667,4897
1332,CT,11,2021,1590,960,383,58S,0.6,Nov-21,13.3,2931
1333,DC,11,2021,495,450,38,16S,0.91,Nov-21,6.133333333,437
1334,DE,11,2021,341,258,52,26S,0.76,Nov-21,11.31666667,918
1335,FL,11,2021,8322,6235,1535,42S,0.75,Nov-21,11.63333333,19176
1336,GA,11,2021,4558,3080,997,25S,0.68,Nov-21,16.38333333,8503
1337,HI,11,2021,934,681,179,27S,0.73,Nov-21,9.35,1044
1338,IA,11,2021,1435,1006,339,54S,0.7,Nov-21,11.68333333,3176
1339,ID,11,2021,1047,875,70,17S,0.84,Nov-21,17.43333333,1687
1340,IL,11,2021,7234,1374,1513,25S,0.19,Nov-21,14.08333333,10708
1341,IN,11,2021,2819,1993,386,22S,0.71,Nov-21,13.51666667,6991
1342,KS,11,2021,1404,1146,135,17S,0.82,Nov-21,15.46666667,2768
1343,KY,11,2021,2049,1539,355,29S,0.75,Nov-21,13.25,5003
1344,LA,11,2021,2225,979,627,31S,0.44,Nov-21,17.03333333,4348
1345,MA,11,2021,4401,3386,826,46S,0.77,Nov-21,8.25,5439
1346,MD,11,2021,3013,2425,578,47S,0.8,Nov-21,13.93333333,4727
1347,ME,11,2021,390,328,61,37S,0.84,Nov-21,10.91666667,1673
1348,MI,11,2021,5280,3434,1131,43S,0.65,Nov-21,12.11666667,11540
1349,MN,11,2021,2755,1312,717,35S,0.48,Nov-21,15.1,5113
1350,MO,11,2021,2915,2300,521,39S,0.79,Nov-21,14.18333333,6116
1351,MS,11,2021,1000,909,66,18S,0.91,Nov-21,7.783333333,3103
1352,MT,11,2021,631,608,23,12S,0.96,Nov-21,11.58333333,1237
1353,NC,11,2021,4310,3918,319,21S,0.91,Nov-21,8.133333333,9464
1354,ND,11,2021,416,368,31,16S,0.88,Nov-21,11.18333333,711
1355,NE,11,2021,923,765,122,31S,0.83,Nov-21,13.25,1738
1356,NH,11,2021,562,442,54,20S,0.79,Nov-21,11.46666667,1315
1357,NJ,11,2021,3600,2802,609,42S,0.78,Nov-21,14.3,6738
1358,NM,11,2021,1377,953,341,1M 2S,0.69,Nov-21,17.41666667,2457
1359,NV,11,2021,1655,1295,290,40S,0.78,Nov-21,15.11666667,2750
1360,NY,11,2021,11636,7234,2089,33S,0.62,Nov-21,16.08333333,15142
1361,OH,11,2021,5159,3020,666,20S,0.59,Nov-21,11.18333333,13439
1362,OK,11,2021,1692,1212,382,45S,0.72,Nov-21,14.51666667,3964
1363,OR,11,2021,3340,2498,526,36S,0.75,Nov-21,17.86666667,3776
1364,PA,11,2021,4603,3900,618,32S,0.85,Nov-21,12.7,14075
1365,RI,11,2021,337,334,3,7S,0.99,Nov-21,7.816666667,988
1366,SC,11,2021,2387,1770,500,27S,0.74,Nov-21,15.8,5178
1367,SD,11,2021,331,291,33,25S,0.88,Nov-21,18.15,868
1368,TN,11,2021,2718,2257,455,24S,0.83,Nov-21,9.483333333,7257
1369,TX,11,2021,12336,4776,2476,24S,0.39,Nov-21,13.83333333,20157
1370,UT,11,2021,2174,1465,403,25S,0.67,Nov-21,17.25,2033
1371,VA,11,2021,4294,3160,977,1M 2S,0.74,Nov-21,11.38333333,7330
1372,VT,11,2021,335,281,22,21S,0.84,Nov-21,18.01666667,633
1373,WA,11,2021,4431,3261,812,32S,0.74,Nov-21,11.3,5877
1374,WI,11,2021,3336,2759,398,22S,0.83,Nov-21,16.46666667,5810
1375,WV,11,2021,758,673,85,26S,0.89,Nov-21,14.9,2644
1376,WY,11,2021,218,117,33,15S,0.54,Nov-21,15.76666667,673
1377,AK,11,2022,776,581,86,18S,0.75,Nov-22,14.36666667,453
1378,AL,11,2022,2380,1478,458,36S,0.62,Nov-22,13.06666667,5003
1379,AR,11,2022,1383,1085,169,21S,0.78,Nov-22,11.98333333,3077
1380,AZ,11,2022,5026,4222,708,18S,0.84,Nov-22,11.43333333,6159
1381,CA,11,2022,24680,21755,2850,35S,0.88,Nov-22,12.53333333,25753
1382,CO,11,2022,4526,3188,531,25S,0.7,Nov-22,14.95,3969
1383,CT,11,2022,2440,2269,120,14S,0.93,Nov-22,10.23333333,2884
1384,DC,11,2022,785,718,42,10S,0.91,Nov-22,8.216666667,450
1385,DE,11,2022,365,272,35,19S,0.75,Nov-22,8.75,923
1386,FL,11,2022,9673,6093,1753,40S,0.63,Nov-22,14.51666667,18660
1387,GA,11,2022,6051,4992,606,17S,0.82,Nov-22,11.21666667,8144
1388,HI,11,2022,1162,1111,42,10S,0.96,Nov-22,8.6,1101
1389,IA,11,2022,1728,1597,110,14S,0.92,Nov-22,9.7,2692
1390,ID,11,2022,1257,931,123,25S,0.74,Nov-22,14.43333333,1446
1391,IL,11,2022,10767,8686,989,31S,0.81,Nov-22,19.83333333,10176
1392,IN,11,2022,3522,3273,205,16S,0.93,Nov-22,16.43333333,6056
1393,KS,11,2022,1603,1418,144,19S,0.88,Nov-22,15.38333333,2540
1394,KY,11,2022,2269,1707,285,27S,0.75,Nov-22,14.91666667,4748
1395,LA,11,2022,2256,1942,292,26S,0.86,Nov-22,14.56666667,4274
1396,MA,11,2022,5401,4753,586,33S,0.88,Nov-22,10.11666667,5118
1397,MD,11,2022,4128,3665,422,31S,0.89,Nov-22,12.25,4813
1398,ME,11,2022,667,565,55,24S,0.85,Nov-22,11.21666667,1430
1399,MI,11,2022,5991,5143,582,25S,0.86,Nov-22,11.33333333,9170
1400,MN,11,2022,3518,3016,389,34S,0.86,Nov-22,13.05,4474
1401,MO,11,2022,3844,3463,367,23S,0.9,Nov-22,14.61666667,5864
1402,MS,11,2022,1145,1107,17,2S,0.97,Nov-22,8.4,3029
1403,MT,11,2022,759,739,19,8S,0.97,Nov-22,11.06666667,976
1404,NC,11,2022,5295,4129,525,19S,0.78,Nov-22,10.5,9186
1405,ND,11,2022,425,384,19,11S,0.9,Nov-22,10.51666667,577
1406,NE,11,2022,1390,1203,121,23S,0.87,Nov-22,14.96666667,1535
1407,NH,11,2022,945,807,137,40S,0.85,Nov-22,16.86666667,1228
1408,NJ,11,2022,4575,3605,558,28S,0.79,Nov-22,13.2,6621
1409,NM,11,2022,1963,1609,209,27S,0.82,Nov-22,16.48333333,1912
1410,NV,11,2022,2308,1664,309,23S,0.72,Nov-22,18.31666667,2477
1411,NY,11,2022,14634,11487,1661,27S,0.78,Nov-22,13.51666667,14602
1412,OH,11,2022,6495,5928,438,15S,0.91,Nov-22,12.18333333,11417
1413,OK,11,2022,2801,2543,227,22S,0.91,Nov-22,10.68333333,3788
1414,OR,11,2022,3783,3336,258,26S,0.88,Nov-22,17.63333333,3685
1415,PA,11,2022,5470,4473,609,25S,0.82,Nov-22,11.68333333,11973
1416,RI,11,2022,517,491,8,2S,0.95,Nov-22,14.56666667,900
1417,SC,11,2022,2721,1685,445,21S,0.62,Nov-22,15.38333333,4979
1418,SD,11,2022,513,454,38,13S,0.88,Nov-22,18.23333333,745
1419,TN,11,2022,3270,2754,480,26S,0.84,Nov-22,10.5,6952
1420,TX,11,2022,13759,8716,1296,20S,0.63,Nov-22,13.18333333,19212
1421,UT,11,2022,2644,2275,176,15S,0.86,Nov-22,16.41666667,1785
1422,VA,11,2022,5383,4913,448,19S,0.91,Nov-22,12.73333333,6744
1423,VT,11,2022,614,465,47,18S,0.76,Nov-22,15.16666667,611
1424,WA,11,2022,5593,4903,448,22S,0.88,Nov-22,12.45,5797
1425,WI,11,2022,5524,4421,498,22S,0.8,Nov-22,14.15,5063
1426,WV,11,2022,995,847,63,16S,0.85,Nov-22,19.46666667,2307
1427,WY,11,2022,345,279,28,8S,0.81,Nov-22,14.61666667,524
1428,AK,11,2023,868,571,112,23S,0.66,Nov-23,16.25,502
1429,AL,11,2023,2542,1590,436,35S,0.63,Nov-23,12.76666667,4781
1430,AR,11,2023,1687,884,226,21S,0.52,Nov-23,14.13333333,2850
1431,AZ,11,2023,6675,5963,538,20S,0.89,Nov-23,11.85,5602
1432,CA,11,2023,29060,24994,3761,38S,0.86,Nov-23,12.56666667,24363
1433,CO,11,2023,8130,6966,805,15S,0.86,Nov-23,14.26666667,3779
1434,CT,11,2023,3759,3349,300,15S,0.89,Nov-23,11.41666667,2780
1435,DC,11,2023,842,695,92,21S,0.83,Nov-23,10.61666667,429
1436,DE,11,2023,374,282,33,22S,0.75,Nov-23,8.783333333,885
1437,FL,11,2023,11671,9038,1731,32S,0.77,Nov-23,15.21666667,18284
1438,GA,11,2023,5743,4898,668,21S,0.85,Nov-23,11.71666667,7781
1439,HI,11,2023,1668,1232,257,20S,0.74,Nov-23,9.55,1004
1440,IA,11,2023,2083,1790,274,35S,0.86,Nov-23,12.86666667,2786
1441,ID,11,2023,1261,1035,130,22S,0.82,Nov-23,17.56666667,1366
1442,IL,11,2023,13139,10354,1382,32S,0.79,Nov-23,22.11666667,9807
1443,IN,11,2023,4495,4114,317,19S,0.92,Nov-23,18.4,5898
1444,KS,11,2023,2022,1793,201,20S,0.89,Nov-23,13.38333333,2415
1445,KY,11,2023,2805,2291,397,22S,0.82,Nov-23,13.78333333,4413
1446,LA,11,2023,2674,2319,342,21S,0.87,Nov-23,15.23333333,4080
1447,MA,11,2023,5803,5139,618,30S,0.89,Nov-23,9.316666667,5182
1448,MD,11,2023,4849,4364,458,26S,0.9,Nov-23,14.9,4524
1449,ME,11,2023,1341,1246,66,16S,0.93,Nov-23,7.633333333,1430
1450,MI,11,2023,7267,6492,695,17S,0.89,Nov-23,12.31666667,8545
1451,MN,11,2023,3964,3522,352,20S,0.89,Nov-23,14.3,4342
1452,MO,11,2023,5523,5207,292,15S,0.94,Nov-23,13.26666667,5460
1453,MS,11,2023,1138,1111,23,1S,0.98,Nov-23,8.183333333,2970
1454,MT,11,2023,862,828,31,8S,0.96,Nov-23,12.23333333,978
1455,NC,11,2023,5916,5078,652,18S,0.86,Nov-23,12.23333333,9011
1456,ND,11,2023,637,561,30,10S,0.88,Nov-23,10.31666667,588
1457,NE,11,2023,1847,1664,113,20S,0.9,Nov-23,16.4,1524
1458,NH,11,2023,1042,830,118,25S,0.8,Nov-23,12.18333333,1176
1459,NJ,11,2023,6049,4702,835,28S,0.78,Nov-23,14.25,6275
1460,NM,11,2023,2552,2171,243,18S,0.85,Nov-23,12.83333333,1900
1461,NV,11,2023,3303,2445,392,22S,0.74,Nov-23,16.03333333,2494
1462,NY,11,2023,28682,25515,2512,33S,0.89,Nov-23,15.4,13536
1463,OH,11,2023,7071,6388,656,24S,0.9,Nov-23,13.78333333,10662
1464,OK,11,2023,4391,3983,361,20S,0.91,Nov-23,11.31666667,3729
1465,OR,11,2023,4577,3495,526,29S,0.76,Nov-23,15.76666667,3528
1466,PA,11,2023,7259,6450,700,22S,0.89,Nov-23,12.5,11828
1467,RI,11,2023,591,571,10,1S,0.97,Nov-23,13.71666667,885
1468,SC,11,2023,3050,2215,393,29S,0.73,Nov-23,17.05,4835
1469,SD,11,2023,840,721,55,12S,0.86,Nov-23,15.05,750
1470,TN,11,2023,3909,3417,477,24S,0.87,Nov-23,12.23333333,6594
1471,TX,11,2023,14837,12654,1902,31S,0.85,Nov-23,14.1,18919
1472,UT,11,2023,2823,2551,154,13S,0.9,Nov-23,15.53333333,1853
1473,VA,11,2023,6236,5601,610,25S,0.9,Nov-23,12.2,6598
1474,VT,11,2023,813,708,46,13S,0.87,Nov-23,18.46666667,562
1475,WA,11,2023,6377,5678,498,21S,0.89,Nov-23,12.46666667,5478
1476,WI,11,2023,6588,4900,698,28S,0.74,Nov-23,16.18333333,4968
1477,WV,11,2023,1271,1136,91,16S,0.89,Nov-23,19.48333333,2027
1478,WY,11,2023,492,468,12,7S,0.95,Nov-23,15.63333333,484
1479,AK,10,2021,618,306,211,27S,0.5,Oct-21,13.23333333,742
1480,AL,10,2021,2520,1649,701,50S,0.65,Oct-21,10.7,5752
1481,AR,10,2021,1416,1049,293,32S,0.74,Oct-21,12,3380
1482,AZ,10,2021,3942,3580,254,17S,0.91,Oct-21,8.666666667,6844
1483,CA,10,2021,24524,20808,3544,45S,0.85,Oct-21,12.06666667,27106
1484,CO,10,2021,4584,2642,1166,49S,0.58,Oct-21,15.18333333,4488
1485,CT,10,2021,1762,981,507,1M 2S,0.56,Oct-21,13.4,2850
1486,DC,10,2021,598,562,24,16S,0.94,Oct-21,7.1,479
1487,DE,10,2021,407,303,72,25S,0.74,Oct-21,9.566666667,1015
1488,FL,10,2021,9308,6963,1828,42S,0.75,Oct-21,11.73333333,21347
1489,GA,10,2021,5053,2824,1497,29S,0.56,Oct-21,17.98333333,9453
1490,HI,10,2021,956,687,159,19S,0.72,Oct-21,8.933333333,1150
1491,IA,10,2021,1342,962,303,54S,0.72,Oct-21,11.21666667,3207
1492,ID,10,2021,1121,919,104,16S,0.82,Oct-21,16.16666667,2078
1493,IL,10,2021,7863,1398,1789,26S,0.18,Oct-21,14.9,10577
1494,IN,10,2021,3173,2318,460,22S,0.73,Oct-21,13.36666667,7030
1495,KS,10,2021,1566,1254,164,18S,0.8,Oct-21,14.53333333,2788
1496,KY,10,2021,2132,1561,390,28S,0.73,Oct-21,15.76666667,5441
1497,LA,10,2021,2296,762,556,32S,0.33,Oct-21,15.53333333,4634
1498,MA,10,2021,3923,2751,924,55S,0.7,Oct-21,9.083333333,5335
1499,MD,10,2021,3440,2784,639,57S,0.81,Oct-21,13.25,4989
1500,ME,10,2021,444,371,71,40S,0.84,Oct-21,10.16666667,1576
1501,MI,10,2021,5741,3664,1292,44S,0.64,Oct-21,11.96666667,10149
1502,MN,10,2021,2991,1520,772,36S,0.51,Oct-21,15.1,4722
1503,MO,10,2021,3112,2402,593,43S,0.77,Oct-21,14.28333333,6049
1504,MS,10,2021,1199,1066,109,17S,0.89,Oct-21,8.5,3214
1505,MT,10,2021,598,572,26,12S,0.96,Oct-21,11.01666667,1453
1506,NC,10,2021,5115,4443,465,22S,0.87,Oct-21,7.516666667,10344
1507,ND,10,2021,358,317,25,16S,0.89,Oct-21,14.3,761
1508,NE,10,2021,1086,773,211,35S,0.71,Oct-21,12.53333333,1791
1509,NH,10,2021,673,522,68,24S,0.78,Oct-21,10.36666667,1259
1510,NJ,10,2021,4179,3273,697,44S,0.78,Oct-21,13.53333333,7025
1511,NM,10,2021,1482,1048,369,59S,0.71,Oct-21,17.51666667,2176
1512,NV,10,2021,1867,1355,407,46S,0.73,Oct-21,14.1,2869
1513,NY,10,2021,12908,7987,2471,32S,0.62,Oct-21,15.31666667,14852
1514,OH,10,2021,5353,3109,708,19S,0.58,Oct-21,12.26666667,13738
1515,OK,10,2021,1805,1270,399,45S,0.7,Oct-21,16.41666667,4359
1516,OR,10,2021,3599,2562,706,39S,0.71,Oct-21,17.28333333,4263
1517,PA,10,2021,5122,4384,627,31S,0.86,Oct-21,12.46666667,13825
1518,RI,10,2021,358,350,8,7S,0.98,Oct-21,8.116666667,939
1519,SC,10,2021,2553,2106,304,19S,0.82,Oct-21,13.66666667,5725
1520,SD,10,2021,326,269,50,29S,0.83,Oct-21,19.93333333,833
1521,TN,10,2021,3033,2328,596,26S,0.77,Oct-21,8.916666667,8077
1522,TX,10,2021,14023,4804,2920,24S,0.34,Oct-21,13.51666667,22795
1523,UT,10,2021,2367,1546,414,27S,0.65,Oct-21,17.26666667,2146
1524,VA,10,2021,4930,3621,1140,1M 9S,0.73,Oct-21,11.21666667,7758
1525,VT,10,2021,372,319,30,19S,0.86,Oct-21,15.75,629
1526,WA,10,2021,4563,3405,812,32S,0.75,Oct-21,10.78333333,6281
1527,WI,10,2021,3610,3226,328,23S,0.89,Oct-21,16.63333333,5708
1528,WV,10,2021,1020,894,109,27S,0.88,Oct-21,13.56666667,2836
1529,WY,10,2021,248,110,49,14S,0.44,Oct-21,11.75,754
1530,AK,10,2022,848,543,119,18S,0.64,Oct-22,15.23333333,476
1531,AL,10,2022,2329,1486,447,40S,0.64,Oct-22,14.15,5194
1532,AR,10,2022,1324,893,196,24S,0.67,Oct-22,11.16666667,3101
1533,AZ,10,2022,4881,4086,714,21S,0.84,Oct-22,13.13333333,5675
1534,CA,10,2022,26894,23591,3118,35S,0.88,Oct-22,12.4,23889
1535,CO,10,2022,4592,3168,534,24S,0.69,Oct-22,15.03333333,3734
1536,CT,10,2022,2238,2038,132,15S,0.91,Oct-22,11.36666667,2847
1537,DC,10,2022,680,624,38,10S,0.92,Oct-22,9.183333333,455
1538,DE,10,2022,403,286,44,20S,0.71,Oct-22,8.25,951
1539,FL,10,2022,10062,5243,1939,45S,0.52,Oct-22,13.58333333,19561
1540,GA,10,2022,6673,5386,604,17S,0.81,Oct-22,11.58333333,8457
1541,HI,10,2022,1369,1156,114,16S,0.84,Oct-22,8.616666667,1084
1542,IA,10,2022,1776,1611,142,16S,0.91,Oct-22,10.48333333,2731
1543,ID,10,2022,1206,852,202,25S,0.71,Oct-22,13.21666667,1379
1544,IL,10,2022,10967,8737,980,29S,0.8,Oct-22,19.35,10108
1545,IN,10,2022,3262,2786,193,15S,0.85,Oct-22,15.83333333,6238
1546,KS,10,2022,1697,1495,175,19S,0.88,Oct-22,15.15,2522
1547,KY,10,2022,2257,1696,289,26S,0.75,Oct-22,14.68333333,4625
1548,LA,10,2022,2475,2105,352,29S,0.85,Oct-22,13.7,4137
